id;parent_id;level;object_id;object_type;object_key;query_status;query_time;query_type;message;created_time;updated_time;error.message
10;None;0;aricaldia;seed;;;None;None;;;;
477;10;1;70955503136_1219760390193763;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;NIÑAS Y NIÑOS DEL JARDÍN INFANTIL “ALBORADA” PIDEN QUE CUIDEMOS EL MEDIO AMBIENTE Arriba de sus coches y junto a su equipo educativo recorrieron mercados y centros de salud del sector norte, difundiendo acciones para promover en la comunidad la conciencia ecológica en favor de nuestro planeta y único hogar... Siga leyendo acá... https://www.aricaldia.cl/ninas-y-ninos-del-jardin-infantil-alborada-piden-que-cuidemos-el-medio-ambiente/ Fundación Integra;2025-08-16T20:38:32+0000;2025-08-17T19:42:33+0000;
478;10;1;70955503136_1219725816863887;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;ATENCIÓN  SE MODIFICA ALERTA TEMPRANA PREVENTIVA PARA LA REGIÓN DE ARICA Y PARINACOTA POR VIENTO :  Viento normal a moderado con probabilidad de tormentas de arena en litoral, pampa y cordillera... Siga leyendo acá... https://www.aricaldia.cl/se-modifica-alerta-temprana-preventiva-para-la-region-de-arica-y-parinacota-por-viento-viento-normal-a-moderado-con-probabilidad-de-tormentas-de-arena-en-litoral-pampa-y-cordillera/ Senapred Chile;2025-08-16T19:32:17+0000;2025-08-18T17:13:28+0000;
479;10;1;70955503136_1219664733536662;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;Y COMENZÓ EL FESTIVAL DEL CHOCLO ! HOY SE PRESENTAN DINO GORDILLO, GARRAS DE AMOR, CAMILA VELIZ, GRUPO PROYECCIÓN Y EL PAYASO TORNILLITO Los dirigentes y emprendedores del valle de Lluta y un multidisciplinario equipo de funcionarios municipales le dieron el vamos a la gran fiesta costumbrista que se prolongará hasta mañana domingo 17 de agosto en la localidad de Poconchile.  Siga leyendo acá... https://www.aricaldia.cl/comenzo-el-festival-del-choclo-hoy-se-presentan-dino-gordillo-y-garras-de-amor/ Municipalidad de Arica #FestivaldelChoclo #arica #aricaldia;2025-08-16T17:45:38+0000;2025-08-17T17:18:16+0000;
480;10;1;70955503136_1219519903551145;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;CINCO EMPRESAS COMPITEN TÉCNICAMENTE PARA ADJUDICAR ESTUDIO QUE PROPONDRÁ VÍA ALTERNATIVA A CUESTA CHINCHORRO  Cinco empresas se presentaron a la licitación que busca proponer una vía alternativa a la Cuesta Cultura Chinchorro, iniciativa impulsada por el Ministerio de Obras Públicas, a través de su Dirección de Vialidad, y cuya apertura técnica se realizó el pasado 14 de agosto... Siga leyendo acá... https://www.aricaldia.cl/cinco-empresas-compiten-tecnicamente-para-adjudicar-estudio-que-propondra-via-alternativa-a-cuesta-chinchorro/ Delegación Presidencial Regional de Arica y Parinacota;2025-08-16T14:07:33+0000;2025-08-18T16:33:21+0000;
481;10;1;70955503136_1219098120259990;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;🌟CUMBION OLD SCHOOL🌟 🗓 VIERNES 05 DE SEPTIEMBRE 2025 🕙 Desde las 21:00Hrs. 📍Centro de eventos Zonna Discotheque ___________________ Todos los recuerdos con el Grupo que esta de Moda RA & KWEA en la voz del inconfundible Romualdo S Acevedo Linares OSITO ___________________ Desde Peru 🇵🇪, Los regalones de los Ariqueños, con sus cumbias de ayer, hoy y siempre, Los Maravillosos de Jose Villanueva ___________________ Desde Argentina 🇦🇷 Llega el color de tu Corazon, con la cumbia romantica que enamoro y sigue enamorando, Javito y su  Grupo Red❤ ___________________ Desde la capital de nuestro pais 🇨🇱, llega el Grupo ✨HISTORICOS✨ De la onda sound y movida Tropical Chilena. se juntan unas de las voces mas iconicas de nuestro pais. ▪︎ PASCUAL RAMIREZ (Ex voz, Alegria , Fantasia ) ▪︎ PIPO OLMOS (ex voz, Amerikan y Tropikal Sound) ▪︎ CLAUDIO NUÑEZ & ARIEL NUÑEZ (ex voz, La Nueva Sensacion Tropical) ▪︎ DANIEL BETANCOUR (ex voz, La Gran Magia Tropical) Juntos en un gran show recordando todos los exitos de la onda sound y movida tropical chilena. https://www.youtube.com/watch?v=sZN17Is2wOU ____________________ ✅ VALORES: PREVENTA $10.000 🔥HASTA AGOTAR STOCK🔥 Valor puerta de las 21:00 hrs hasta las 22:00 hrs $15.000  Valor puerta de las 22:00 hrs en adelante $20.000 — — — — — — — — ▪︎MESAS VIP (para 4 personas) Frente al escenario informacion al ￼⁨9 6595 6385⁩ ____________________ ✅ PUNTOS DE VENTA: Botilleria Liquidos Kukuli 📍 AV. CANCHA RAYADA #3910 📍 AV. TAMBO QUEMADO 3773 Venta solo con transferencia o efectivo ____________________ Compra Con tarjeta de credito / debito en : https://ticketplus.cl/events/cumbion-old-school — — — — — — — — ▪︎Evento para mayores de 18 años.;2025-08-16T02:20:18+0000;2025-08-17T23:49:03+0000;
482;10;1;70955503136_1218926850277117;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;SISMO SE SINTIÓ EN ARICA : 4.0 DE MAGNITUD AL SUROESTE DE PUTRE  Hipocentro Referencia 42 km al SO de Putre Hora Local 16:29:17 15/08/2025 Hora UTC 20:29:17 15/08/2025 Latitud -18.43 Longitud -69.87 Profundidad 123 km Magnitud 4.0 ml;2025-08-15T20:39:08+0000;2025-08-17T01:32:22+0000;
483;10;1;70955503136_1218883740281428;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;ATENCIÓN DECLARAN ALERTA TEMPRANA PREVENTIVA POR VIENTO CON PROBABILIDAD DE TORMENTAS DE ARENA PARA ESTE DOMINGO 17 DE AGOSTO informan que la condición se producirá desde el domingo 17 de agosto hasta la noche del martes 19 de agosto y afectará Arica y Parinacota (Cordillera) Dirección Meteorológica de Chile Senapred Chile Dirección Meteorológica de Chile;2025-08-15T19:37:10+0000;2025-08-16T19:33:46+0000;
484;10;1;70955503136_1218810913622044;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;CONTINÚA INSCRIPCIÓN DE ACTIVIDADES PARA EL DÍA DE LOS PATRIMONIOS DE NIÑAS, NIÑOS Y ADOLESCENTES 2025 El próximo sábado 23 de agosto se realizará el DÍA DE LOS PATRIMONIOS DE NIÑAS, NIÑOS Y ADOLESCENTES, una fiesta cultural gratuita orientada a las infancias y juventudes que busca acercar a las nuevas generaciones a la riqueza del patrimonio cultural chileno...  Siga leyendo acá... https://www.aricaldia.cl/continua-inscripcion-de-actividades-para-el-dia-de-los-patrimonios-de-ninas-ninos-y-adolescentes-2025/ Servicio Nacional del Patrimonio Cultural #DiadelosPatrimonios2025 #DiaDeLosPatrimonios #AricaParinacota #arica;2025-08-15T17:25:48+0000;2025-08-16T12:40:22+0000;
485;10;1;70955503136_1218802896956179;data;data.*;fetched (200);2025-08-18 14:45:01.892377;Facebook:/<page-id>/posts;CFT INACAP REAFIRMA SU LIDERAZGO Y ES ACREDITADO EN NIVEL MÁXIMO DE EXCELENCIA POR 7 AÑOS El Centro de Formación Técnica (CFT) INACAP fue reconocido por la Comisión Nacional de Acreditación (CNA-Chile) en el nivel máximo de excelencia en las áreas obligatorias de Docencia y Resultados del Proceso de Formación, Gestión Estratégica y Recursos Institucionales... Siga leyendo acá... https://www.aricaldia.cl/cft-inacap-reafirma-su-liderazgo-y-es-acreditado-en-nivel-maximo-de-excelencia-por-7-anos/ Inacap Sede Arica INACAP;2025-08-15T17:13:54+0000;2025-08-15T17:13:54+0000;
